Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,5
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",22
2010,2010 Q4,Visa,Worker (Previously Tier 2),Mining and Quarrying,144
2010,2010 Q4,Visa,Worker (Previously Tier 2),Manufacturing,414
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",10
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",2
2010,2010 Q4,Visa,Worker (Previously Tier 2),Construction,61
2010,2010 Q4,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,118
2010,2010 Q4,Visa,Worker (Previously Tier 2),Transportation and Storage,54
2010,2010 Q4,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,318
2010,2010 Q4,Visa,Worker (Previously Tier 2),Information and Communications,3582
2010,2010 Q4,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,1013
2010,2010 Q4,Visa,Worker (Previously Tier 2),Real estate activities,8
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",1589
2010,2010 Q4,Visa,Worker (Previously Tier 2),Administrative and support service activities,57
2010,2010 Q4,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,23
2010,2010 Q4,Visa,Worker (Previously Tier 2),Education,293
2010,2010 Q4,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,421
2010,2010 Q4,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",106
2010,2010 Q4,Visa,Worker (Previously Tier 2),Other Service Activities,93
2010,2010 Q4,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,2
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",3
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Manufacturing,8
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Construction,10
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,36
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,66
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Information and Communications,266
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,6
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",72
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,160
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,12
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Education,712
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,219
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",6400
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,328
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,3
2010,2010 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,32
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",3
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,54
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Manufacturing,131
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",18
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Construction,31
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,41
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,18
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,305
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Information and Communications,892
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,225
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Real estate activities,3
